classes: 27
train=1983 val=351 test=236
trainable params: 328871
epoch 1/150  train_loss=3.3195 train_acc=0.0277  val_loss=3.3047 val_acc=0.0655
epoch 2/150  train_loss=3.2979 train_acc=0.0479  val_loss=3.2875 val_acc=0.0940
epoch 3/150  train_loss=3.2795 train_acc=0.0600  val_loss=3.2620 val_acc=0.0969
epoch 4/150  train_loss=3.2593 train_acc=0.0802  val_loss=3.2317 val_acc=0.1083
epoch 5/150  train_loss=3.2442 train_acc=0.0842  val_loss=3.2288 val_acc=0.1225
epoch 6/150  train_loss=3.2290 train_acc=0.0953  val_loss=3.1914 val_acc=0.1254
epoch 7/150  train_loss=3.2194 train_acc=0.0978  val_loss=3.1717 val_acc=0.1282
epoch 8/150  train_loss=3.2075 train_acc=0.0883  val_loss=3.1780 val_acc=0.1282
epoch 9/150  train_loss=3.1997 train_acc=0.0993  val_loss=3.1684 val_acc=0.1282
epoch 10/150  train_loss=3.1882 train_acc=0.1069  val_loss=3.1388 val_acc=0.1254
epoch 11/150  train_loss=3.1862 train_acc=0.1069  val_loss=3.1301 val_acc=0.1282
epoch 12/150  train_loss=3.1702 train_acc=0.1094  val_loss=3.1552 val_acc=0.1339
epoch 13/150  train_loss=3.1619 train_acc=0.1079  val_loss=3.1329 val_acc=0.1396
epoch 14/150  train_loss=3.1529 train_acc=0.1104  val_loss=3.1198 val_acc=0.1339
epoch 15/150  train_loss=3.1466 train_acc=0.1150  val_loss=3.1205 val_acc=0.1425
epoch 16/150  train_loss=3.1386 train_acc=0.1200  val_loss=3.1073 val_acc=0.1254
epoch 17/150  train_loss=3.1313 train_acc=0.1195  val_loss=3.1214 val_acc=0.1339
epoch 18/150  train_loss=3.1368 train_acc=0.1170  val_loss=3.1169 val_acc=0.1197
epoch 19/150  train_loss=3.1236 train_acc=0.1064  val_loss=3.0761 val_acc=0.1481
epoch 20/150  train_loss=3.1119 train_acc=0.1291  val_loss=3.0947 val_acc=0.1254
epoch 21/150  train_loss=3.1008 train_acc=0.1311  val_loss=3.0807 val_acc=0.1481
epoch 22/150  train_loss=3.0954 train_acc=0.1306  val_loss=3.0318 val_acc=0.1481
epoch 23/150  train_loss=3.0833 train_acc=0.1357  val_loss=3.0524 val_acc=0.1197
epoch 24/150  train_loss=3.0746 train_acc=0.1331  val_loss=3.0932 val_acc=0.1481
epoch 25/150  train_loss=3.0778 train_acc=0.1357  val_loss=3.0248 val_acc=0.1453
epoch 26/150  train_loss=3.0679 train_acc=0.1387  val_loss=3.0193 val_acc=0.1339
epoch 27/150  train_loss=3.0656 train_acc=0.1407  val_loss=3.0156 val_acc=0.1567
epoch 28/150  train_loss=3.0438 train_acc=0.1392  val_loss=2.9951 val_acc=0.1766
epoch 29/150  train_loss=3.0537 train_acc=0.1437  val_loss=2.9929 val_acc=0.1425
epoch 30/150  train_loss=3.0351 train_acc=0.1447  val_loss=3.0443 val_acc=0.1510
epoch 31/150  train_loss=3.0354 train_acc=0.1457  val_loss=3.0137 val_acc=0.1396
epoch 32/150  train_loss=3.0222 train_acc=0.1427  val_loss=2.9976 val_acc=0.1738
epoch 33/150  train_loss=3.0152 train_acc=0.1493  val_loss=2.9713 val_acc=0.1738
epoch 34/150  train_loss=3.0083 train_acc=0.1568  val_loss=2.9807 val_acc=0.1709
epoch 35/150  train_loss=3.0059 train_acc=0.1503  val_loss=3.0132 val_acc=0.1567
epoch 36/150  train_loss=3.0037 train_acc=0.1614  val_loss=2.9764 val_acc=0.1481
epoch 37/150  train_loss=2.9961 train_acc=0.1508  val_loss=2.9921 val_acc=0.1595
epoch 38/150  train_loss=2.9924 train_acc=0.1558  val_loss=2.9491 val_acc=0.1567
epoch 39/150  train_loss=2.9848 train_acc=0.1599  val_loss=2.9472 val_acc=0.1766
epoch 40/150  train_loss=2.9691 train_acc=0.1699  val_loss=2.9697 val_acc=0.1624
epoch 41/150  train_loss=2.9572 train_acc=0.1710  val_loss=2.9275 val_acc=0.1624
epoch 42/150  train_loss=2.9556 train_acc=0.1710  val_loss=2.9524 val_acc=0.1852
epoch 43/150  train_loss=2.9483 train_acc=0.1699  val_loss=2.9062 val_acc=0.1823
epoch 44/150  train_loss=2.9390 train_acc=0.1790  val_loss=2.9306 val_acc=0.1709
epoch 45/150  train_loss=2.9467 train_acc=0.1704  val_loss=2.8885 val_acc=0.1966
epoch 46/150  train_loss=2.9389 train_acc=0.1720  val_loss=2.8961 val_acc=0.1795
epoch 47/150  train_loss=2.9281 train_acc=0.1856  val_loss=2.8579 val_acc=0.1652
epoch 48/150  train_loss=2.9130 train_acc=0.1831  val_loss=2.8891 val_acc=0.1681
epoch 49/150  train_loss=2.9075 train_acc=0.1967  val_loss=2.8897 val_acc=0.1795
epoch 50/150  train_loss=2.9019 train_acc=0.1881  val_loss=2.8823 val_acc=0.1823
epoch 51/150  train_loss=2.8988 train_acc=0.1916  val_loss=2.8729 val_acc=0.1738
